Date,Roll Number,Activity Code (Gen),Activity Code (Specific),Time Spent (hours)
07/03/14,MT2013026,DB Design,Designing the initial DB Models,3
10/03/14,MT2013026,DB Design,Iteration over DB Design - Modification,2
13/03/14,MT2013026,Screen graph,Review of Screen Graph,2
14/03/14,MT2013026,Screenshots,Design of Screens,2
15/03/14,MT2013026,None,None,0
16/03/14,MT2013026,None,None,0
17/03/14,MT2013026,None,None,0
18/03/14,MT2013026,None,None,0
19/03/14,MT2013026,Design Review - Abhishek's team,Observer in Design Review of Abhishek's team,3
19/03/14,MT2013026,Design review by Preethi,Meeting with Preethi on DB Design,1.5
20/03/14,MT2013026,Design changes,Design changes,5
20/03/14,MT2013026,Design review by Professor,Design Review,2.5
21/03/14,MT2013026,Screen review,Screen navigation and design Review,2
